timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/03/08 20:05:02.528,232,STEP5_/start,302,Found,Thread Group 1-2,text,true,,1131,2245,5,5,https://challenge.flood.io/start,232,0,0
2023/03/08 20:05:02.558,234,STEP3_/start,302,Found,Thread Group 1-4,text,true,,1131,1851,5,5,https://challenge.flood.io/start,234,0,0
2023/03/08 20:05:02.618,231,STEP5_/start,302,Found,Thread Group 1-1,text,true,,1131,2263,5,5,https://challenge.flood.io/start,231,0,0
2023/03/08 20:05:02.764,240,STEP5_/step/5,200,OK,Thread Group 1-2,text,true,,2155,1517,5,5,https://challenge.flood.io/step/5,240,0,0
2023/03/08 20:05:02.853,242,STEP5_/step/5,200,OK,Thread Group 1-1,text,true,,2155,1537,5,5,https://challenge.flood.io/step/5,242,0,0
2023/03/08 20:05:03.904,264,STEP2_/step/2,200,OK,Thread Group 1-5,text,true,,2416,1451,5,5,https://challenge.flood.io/step/2,264,0,0
2023/03/08 20:05:04.153,289,STEP4_/step/4,200,OK,Thread Group 1-3,text,true,,2043,1537,5,5,https://challenge.flood.io/step/4,289,0,0
2023/03/08 20:05:04.172,266,STEP3_/start,302,Found,Thread Group 1-5,text,true,,1131,1857,5,5,https://challenge.flood.io/start,266,0,0
2023/03/08 20:05:04.170,272,STEP3_/step/3,200,OK,Thread Group 1-4,text,true,,3031,1457,5,5,https://challenge.flood.io/step/3,272,0,0
2023/03/08 20:05:04.422,243,STEP5_/code,200,OK,Thread Group 1-2,text,true,,1079,1347,5,5,https://challenge.flood.io/code,243,0,0
2023/03/08 20:05:04.449,298,STEP5_/code,200,OK,Thread Group 1-1,text,true,,1079,1367,5,5,https://challenge.flood.io/code,298,0,0
2023/03/08 20:05:04.452,295,STEP5_/start,302,Found,Thread Group 1-3,text,true,,1131,2265,5,5,https://challenge.flood.io/start,295,0,0
2023/03/08 20:05:04.483,264,STEP4_/start,302,Found,Thread Group 1-4,text,true,,1131,2086,5,5,https://challenge.flood.io/start,264,0,0
2023/03/08 20:05:04.753,350,STEP5_/step/5,200,OK,Thread Group 1-3,text,true,,2156,1537,5,5,https://challenge.flood.io/step/5,350,0,0
2023/03/08 20:05:04.752,351,STEPDONE_/start,302,Found,Thread Group 1-1,text,true,,1131,1963,5,5,https://challenge.flood.io/start,350,0,0
2023/03/08 20:05:04.670,433,STEPDONE_/start,302,Found,Thread Group 1-2,text,true,,1131,1945,5,5,https://challenge.flood.io/start,432,0,0
2023/03/08 20:05:05.868,255,STEP3_/step/3,200,OK,Thread Group 1-5,text,true,,3036,1457,5,5,https://challenge.flood.io/step/3,255,0,0
2023/03/08 20:05:06.160,234,STEP4_/start,302,Found,Thread Group 1-5,text,true,,1131,2092,5,5,https://challenge.flood.io/start,234,0,0
2023/03/08 20:05:06.160,256,STEP4_/step/4,200,OK,Thread Group 1-4,text,true,,2046,1537,5,5,https://challenge.flood.io/step/4,256,0,0
2023/03/08 20:05:06.419,244,STEP5_/start,302,Found,Thread Group 1-4,text,true,,1131,2263,5,5,https://challenge.flood.io/start,244,0,0
2023/03/08 20:05:06.523,245,STEPDONE_/done,200,OK,Thread Group 1-2,text,true,,1960,1528,5,5,https://challenge.flood.io/done,245,0,0
2023/03/08 20:05:06.523,243,STEP5_/code,200,OK,Thread Group 1-3,text,true,,1079,1367,5,5,https://challenge.flood.io/code,243,0,0
2023/03/08 20:05:06.571,239,STEPDONE_/done,200,OK,Thread Group 1-1,text,true,,1960,1548,5,5,https://challenge.flood.io/done,239,0,0
